Company_Name,Country,Sector,Overall_Rating,Overall_Score,Environmental_Score,Social_Score,Governance_Score
"1000 AUAHI, LLC",US,Real Estate Development & Diversified Activities,A,6.8,6.1,4.1,6.9
"1LIFE HEALTHCARE, INC",US,Health Care Providers & Services,A,6.3,,6.0,4.2
1ST SOURCE BANK,US,Banks,B,2.2,0.0,2.6,4.7
1ST SOURCE CORPORATION,US,Banks,B,2.2,0.0,2.6,4.7
2Seventy Bio Inc,US,Biotechnology,B,2.8,2.2,3.4,6.0
"2U, INC",US,Software & Services,A,6.9,4.7,4.7,6.3
360 DigiTech Inc,CN,Consumer Finance,B,2.3,,3.6,2.5
361 DEGREES INTERNATIONAL LIMITED,CN,"Textiles, Apparel & Luxury Goods",B,2.8,2.7,2.6,4.5
3SBIO INC,CN,Biotechnology,A,6.2,6.3,4.3,6.5
7750 WISCONSIN AVENUE LLC,US,Real Estate Management & Services,A,7.1,8.0,4.2,5.9
A O SMITH CORPORATION,US,Building Products,A,6.8,,5.5,3.0
AAC TECHNOLOGIES HOLDINGS INC,CN,"Electronic Equipment, Instruments & Components",A,6.8,3.5,5.5,4.5
"AAON, INC",US,Building Products,A,7.1,5.0,7.0,5.6
"ABC-MART,INC",JP,Retail - Consumer Discretionary,B,2.2,2.6,3.7,3.1
ABM INDUSTRIES INCORPORATED,US,Commercial Services & Supplies,A,7.1,8.3,5.9,6.1
ABN AMRO FUNDING USA LLC,US,Banks,A,7.0,9.2,3.5,4.7
"ACADEMY SPORTS AND OUTDOORS, INC",US,Retail - Consumer Discretionary,A,6.1,,4.5,6.5
"ACADEMY, LTD",US,Retail - Consumer Discretionary,A,6.1,1.6,4.5,6.5
"ACADIA HEALTHCARE COMPANY, INC",US,Health Care Providers & Services,A,7.0,,5.2,6.3
"ACCEL ENTERTAINMENT, INC",US,Casinos & Gaming,A,7.0,4.8,6.5,4.9
ACCO BRANDS CORPORATION,US,Commercial Services & Supplies,A,6.1,8.8,2.8,5.3
"ACCRUENT, LLC",US,Industrial Machinery,A,6.3,4.8,6.1,5.0
ACE CAPITAL TRUST II,US,Property & Casualty Insurance,A,6.7,,4.7,5.2
ACM Research Inc,US,Semiconductors & Semiconductor Equipment,B,1.8,3.5,4.6,3.6
ACTIAN CORPORATION,US,Software & Services,A,6.9,,3.8,6.8
ADAPTHEALTH CORP,US,Health Care Providers & Services,A,7.0,6.7,5.9,6.0
"ADAPTHEALTH, LLC",US,Health Care Providers & Services,A,7.0,,5.9,6.0
ADIENT US LLC,US,Auto Components,B,2.7,,2.8,5.5
"ADT CAPS Co,Ltd",KR,Telecommunication Services,A,6.1,10.0,7.6,3.0
ADT INC,US,Commercial Services & Supplies,A,6.3,8.3,6.3,4.8
"ADTRAN, INC",US,"Technology Hardware, Storage & Peripherals",A,5.8,2.0,5.0,5.2
"ADVANCED INSTRUMENTS, LLC",US,Diversified Financials,A,7.0,,5.9,4.3
"ADVANCED MICRO DEVICES, INC",US,Semiconductors & Semiconductor Equipment,A,6.4,4.3,6.0,5.9
"AEP TRANSMISSION COMPANY, LLC",US,Utilities,A,7.1,7.0,7.1,6.2
"AEROCARE HOLDINGS, INC",US,Health Care Providers & Services,A,7.0,,5.9,6.0
"AEROJET ROCKETDYNE HOLDINGS, INC",US,Aerospace & Defense,A,7.0,,5.8,5.4
"AEROVIRONMENT, INC",US,Aerospace & Defense,A,6.5,4.3,5.3,4.5
AETNA INC,US,Health Care Providers & Services,A,5.8,10.0,4.0,5.9
"AFFILIATED MANAGERS GROUP, INC",US,Asset Management & Custody Banks,A,6.5,,4.4,5.9
AGCO CORPORATION,US,Construction & Farm Machinery & Heavy Trucks,A,6.9,4.1,5.5,6.2
AGENUS INC,US,Biotechnology,B,2.8,7.8,4.8,2.6
AGILE GROUP HOLDINGS LIMITED,CN,Real Estate Development & Diversified Activities,B,2.7,,2.4,3.3
"AIDA ENGINEERING, LTD",JP,Industrial Machinery,B,2.6,5.2,4.5,3.3
"AIR LIQUIDE US, LLC",US,Specialty Chemicals,A,6.5,5.3,9.3,5.5
"AIR TRANSPORT SERVICES GROUP, INC",US,Air Freight & Logistics,B,2.7,5.8,3.8,5.6
"AIRBNB, INC",US,Hotels & Travel,B,2.3,6.2,3.4,3.5
AISIN CORPORATION,JP,Auto Components,B,2.3,5.8,5.4,1.9
"AJU IB INVESTMENT Co, Ltd",KR,Asset Management & Custody Banks,B,1.7,6.7,2.5,4.5
AK Medical Holdings Ltd,CN,Health Care Equipment & Supplies,A,6.6,9.1,7.5,3.3
"AKAMAI TECHNOLOGIES, INC",US,Software & Services,A,6.9,9.0,5.2,5.1
"AKEBIA THERAPEUTICS, INC",US,Biotechnology,B,2.1,5.1,3.1,4.8
ALAMO GROUP INC,US,Construction & Farm Machinery & Heavy Trucks,A,6.9,2.7,5.0,7.5
"ALASKA AIR GROUP, INC",US,Airlines,A,6.9,3.9,4.8,5.6
"ALASKA AIRLINES, INC",US,Airlines,A,6.9,3.9,4.8,5.6
"ALBERTSONS COMPANIES, INC",US,Retail - Food & Staples,B,2.7,1.9,2.9,6.2
"ALBERTSONS COMPANIES, LLC",US,Retail - Food & Staples,B,2.7,,2.9,6.2
ALCON FINANCE CORPORATION,US,Health Care Equipment & Supplies,A,6.6,7.4,6.3,5.4
"ALEXANDRIA REAL ESTATE EQUITIES, INC",US,Real Estate Management & Services,A,6.1,,4.6,5.1
"ALL METRO HEALTH CARE SERVICES, INC",US,Health Care Providers & Services,A,5.8,,5.0,6.1
"ALLETE, INC",US,Utilities,A,7.0,,4.5,6.6
"ALLIANCE RESOURCE OPERATING PARTNERS, LP",US,Metals and Mining - Non-Precious Metals,B,2.5,,2.2,4.2
"ALLIANCE RESOURCE PARTNERS, LP",US,Metals and Mining - Non-Precious Metals,B,2.5,1.6,2.2,4.2
"ALLIANT INSURANCE SERVICES, INC",US,Asset Management & Custody Banks,B,1.7,,5.1,3.1
"ALLIED WASTE INDUSTRIES, LLC",US,Commercial Services & Supplies,A,6.5,5.6,5.4,6.3
"ALLISON TRANSMISSION HOLDINGS, INC",US,Construction & Farm Machinery & Heavy Trucks,A,6.2,3.4,5.6,5.3
"ALLISON TRANSMISSION, INC",US,Construction & Farm Machinery & Heavy Trucks,A,6.2,3.4,5.6,5.3
"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC",US,Health Care Equipment & Supplies,A,5.8,8.0,5.5,5.7
ALLY BANK,US,Consumer Finance,A,6.0,8.7,4.3,6.0
ALLY FINANCIAL INC,US,Consumer Finance,A,6.0,8.7,4.3,6.0
"ALPHA APPALACHIA HOLDINGS, LLC",US,Steel,B,1.6,,1.8,6.1
"ALPHA METALLURGICAL RESOURCES, INC",US,Steel,B,1.6,,1.8,6.1
ALPINE SECURITIZATION LTD,US,Investment Banking & Brokerage,A,7.1,,6.2,3.9
"ALPS ALPINE CO, LTD",JP,"Electronic Equipment, Instruments & Components",A,6.5,2.8,5.6,4.5
"ALTA WIND HOLDINGS, LLC",US,Utilities,A,7.0,7.4,3.9,5.3
ALTAIR ENGINEERING INC,US,Software & Services,A,6.0,,4.7,5.3
"ALTO CENTRAL, LLC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,1.6,1.8,4.5,4.8
"ALTO INGREDIENTS, INC",US,"Oil & Gas Refining, Marketing, Transportation & Storage",B,1.6,1.8,4.5,4.8
ALTUS MIDSTREAM LP,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.5,3.7,5.1,7.5
"AMADA CO,LTD",JP,Industrial Machinery,A,6.6,6.2,5.7,4.6
AMALGAMATED BANK,US,Banks,A,5.9,,4.0,5.6
"AMB CANADA INVESTMENTS, LLC",US,Real Estate Management & Services,A,6.6,7.1,6.2,5.1
AMC NETWORKS INC,US,Media & Entertainment,B,1.7,6.7,4.9,1.1
AMERCO,US,Road & Rail Transport,A,5.9,,5.5,3.1
AMEREN CORPORATION,US,Utilities,A,6.5,6.0,6.2,6.1
AMEREN ILLINOIS COMPANY,US,Utilities,A,6.5,6.0,6.2,6.1
AMERICAN AIRLINES GROUP INC,US,Airlines,B,2.8,3.1,3.1,4.5
"AMERICAN AIRLINES, INC",US,Airlines,B,2.8,3.1,3.1,4.5
"AMERICAN ELECTRIC POWER COMPANY, INC",US,Utilities,A,7.1,7.0,7.1,6.2
"AMERICAN FINANCIAL GROUP, INC",US,Property & Casualty Insurance,B,2.6,1.4,4.1,4.3
AMERICAN HONDA FINANCE CORPORATION,US,Consumer Finance,A,7.1,8.5,1.8,5.4
"AMERICAN NATIONAL GROUP, INC",US,Multi-Line Insurance & Brokerage,B,2.6,2.6,3.8,4.8
"AMERICAN PREMIER UNDERWRITERS, INC",US,Property & Casualty Insurance,B,2.6,1.4,4.1,4.3
"AMERICAN PUBLIC EDUCATION, INC",US,Diversified Consumer Services,A,6.2,6.5,3.9,6.0
AMERICAN SOUTHERN BANK,US,Banks,A,7.0,2.3,4.3,7.0
AMERICAN STATES WATER COMPANY,US,Utilities,A,6.1,5.6,6.0,6.9
"AMERICAN STORES COMPANY, LLC",US,Retail - Food & Staples,B,2.7,,2.9,6.2
AMERICAN TRANSMISSION COMPANY LLC,US,Utilities,A,6.5,6.4,5.0,6.0
"AMERICAN TRANSMISSION SYSTEMS, INCORPORATED",US,Utilities,A,5.8,,5.3,4.2
AMERICAN VANGUARD CORPORATION,US,Specialty Chemicals,B,2.0,3.1,0.0,5.4
AMERICAN WATER CAPITAL CORP,US,Utilities,A,7.0,6.5,4.7,7.5
"AMERICAN WATER WORKS COMPANY, INC",US,Utilities,A,7.0,,4.7,7.5
"AMERICAS CAR-MART, INC",US,Retail - Consumer Discretionary,A,6.8,2.1,5.5,6.6
"AMERICOLD REALTY OPERATING PARTNERSHIP, LP",US,Real Estate Management & Services,B,2.6,5.1,0.0,6.1
AMERICOLD REALTY TRUST,US,Real Estate Management & Services,B,2.6,,0.0,6.1
"AMERIPRISE FINANCIAL, INC",US,Asset Management & Custody Banks,A,6.1,8.7,5.6,3.4
