index,Keyword,frequency
1,활동,3
2,선도,1
3,소통,1
4,노사관계,1
5,공급사,1
6,행복,1
7,고객,2
8,협업,1
9,발전,2
10,화합,1
11,원칙,1
12,변화,1
13,사회,3
14,제공,1
15,배려,2
16,실천,1
17,조직문화,1
18,조화,1
19,일원,1
20,창의,1
21,경제,1
22,생태계,1
23,영속,1
24,일터,1
25,일,1
26,인류,1
27,기여,1
28,주주,1
29,이윤,1
30,인사,1
31,우리,1
32,자원,1
33,산업,1
34,균형,1
35,이해관계자,1
36,안전,1
37,혁신,1
38,가치,2
39,투명,1
40,나눔,1
41,다양성,1
42,길,1
43,자세,1
44,파트너,1
45,조성,2
46,세상,1
47,번영,1
48,기업,4
49,구성원,3
50,포스코,2
51,문제,2
52,안녕,1
53,경영,3
54,이념,1
55,동반,1
56,이웃,1
57,지원,1
58,쾌적,1
59,준수,1
60,참여,1
61,전개,1
62,직면,1
63,서비스,1
64,해결,2
65,제품,1
66,회사,1
67,근무,1
68,성공,1
69,공익,1
70,공동체,1
71,성장,4
72,도모,1
73,삶,1
74,구현,2
75,창출,2
76,포용,1
77,기업시민,2
78,마음,1
79,보람,1
80,차원,1
81,건강,1
82,지역,1
83,사업,1
84,환경,2
85,비즈니스,1
86,공정,2
87,공감,2
88,보호,1
89,기반,1
90,강건,1
91,존중,1
92,협력사,1
93,역할,1
94,신뢰,1
95,동참,1
96,활용,1
97,윤리,1
